index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
667	45	9.97642	-8	8	31.67500	-31.97720
668	45	9.97501	-8	7	30.57620	-28.42180
669	45	9.97375	-8	6	29.40910	-24.98670
670	45	9.9726	-7	6	28.30990	-21.43020
671	45	9.97162	-7	5	27.30680	-17.84330
672	45	9.97076	-7	4	26.20730	-14.28570
673	45	9.97001	-6	3	25.01140	-10.75740
674	45	9.96943	-6	2	23.91160	-7.19900
675	45	9.96899	-6	1	22.84000	-3.73150
676	45	9.96869	-6	0	21.83640	-0.14270
677	45	9.96852	-5	-1	20.73640	 3.41650
678	45	9.96846	-5	-2	19.54000	 6.94620
679	45	9.96856	-5	-3	18.43990	10.50570
680	45	9.9688	-4	-4	17.33980	14.06520
681	45	9.9692	-4	-5	16.33600	17.65450
682	45	9.96972	-4	-5	15.23590	21.21400
683	45	9.97035	-4	-6	14.03960	24.74360
684	45	9.97115	-3	-7	12.93960	28.30290
685	45	9.97208	-3	-8	11.83970	31.86190
686	45	9.97317	-3	-9	10.83610	35.45040
687	45	9.97435	-3	-10	 9.76450	38.91750
688	45	9.97567	-2	-11	 8.56860	42.44580
689	45	9.97715	-2	-12	 7.46910	46.00340
690	45	9.97877	-2	-13	 6.36980	49.56060
691	45	9.98055	-1	-14	 5.36690	53.14690
692	45	9.98245	-1	-15	 4.26790	56.70290
693	45	9.98441	-1	-15	 3.10090	60.13730
694	45	9.98659	-1	-16	 2.00240	63.69200
695	45	9.9889	0	-17	 0.90400	67.24590
696	45	9.99137	0	-18	-0.09780	70.82880
697	45	9.99396	0	-19	-1.19570	74.38100
698	45	9.99224	-1	-19	 3.56110	71.95960
699	45	9.98979	-1	-18	 4.65920	68.40650
700	45	9.98748	-1	-17	 5.75750	64.85260
701	45	9.98533	-2	-16	 6.95240	61.32760
702	45	9.98327	-2	-15	 7.95490	57.74250
703	45	9.98142	-2	-14	 9.02570	54.27770
704	45	9.97966	-3	-13	10.12490	50.72110
705	45	9.97804	-3	-12	11.22430	47.16400
